gate,family,priority,verdict,total_signals,evaluated_samples,pending_samples,partial_samples,avg_return_pct,median_return_pct,win_rate,target_1_hit_rate,stop_hit_rate,mfe_mean_pct,mae_mean_pct,mfe_mae_ratio,best_return_pct,worst_return_pct,latest_signal_utc,latest_candle_timestamp,description,warnings,filters
STRUCTURE_SCORE_GE_10,review_backtest_candidate,4,SHADOW_BUILDING,24,22,1,1,0.4777,0.739,77.27,63.64,54.55,5.4239,-2.0686,2.622,1.9995,-1.9251,2026-07-22T17:02:18.488062+00:00,2026-07-22 12:00:00,مثبت ولی نیازمند review: structure_score >= 10.,['Forward evaluated samples کمتر از حداقل 30 است: 22'],{'structure_score_min': 10}
HISTORICAL_EDGE_SCORE_GE_1,primary_backtest_candidate,3,SHADOW_BUILDING,8,8,0,0,-1.2246,-0.6676,12.5,100.0,100.0,4.4961,-3.6141,1.244,0.5361,-3.2625,2026-07-12T07:52:15.639123+00:00,2026-07-12 00:00:00,Backtest candidate با stop کمتر: historical_edge_score >= 1.,['Forward evaluated samples کمتر از حداقل 30 است: 8'],{'historical_edge_score_min': 1}
RISK_MEDIUM,primary_backtest_candidate,2,SHADOW_BUILDING,1,1,0,0,0.5361,0.5361,100.0,100.0,100.0,4.7339,-3.2845,1.441,0.5361,0.5361,2026-07-10T18:10:47.369248+00:00,2026-07-10 16:00:00,Backtest candidate با sample بیشتر: risk_label = Medium.,['Forward evaluated samples کمتر از حداقل 30 است: 1'],{'risk_normalized_in': ['MEDIUM']}
REGIME_TRENDING_BEAR__RISK_MEDIUM,regime_gate_matrix_candidate,0,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,v6.1 regime proposal: TRENDING_BEAR + risk_label = Medium.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],"{'regime_label_in': ['TRENDING_BEAR'], 'risk_normalized_in': ['MEDIUM']}"
REGIME_TRENDING_BEAR__RISK_MEDIUM__SHORT,regime_gate_matrix_candidate,0,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,v6.1 regime proposal: TRENDING_BEAR + risk_label = Medium + SHORT.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],"{'regime_label_in': ['TRENDING_BEAR'], 'risk_normalized_in': ['MEDIUM'], 'side_in': ['SHORT']}"
REGIME_TRENDING_BEAR__STRUCTURE_SCORE_GE_10,regime_gate_matrix_candidate,0,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,v6.1 regime proposal: TRENDING_BEAR + structure_score >= 10.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],"{'regime_label_in': ['TRENDING_BEAR'], 'structure_score_min': 10}"
REGIME_TRENDING_BEAR__STRUCTURE_SCORE_GE_10__SHORT,regime_gate_matrix_candidate,0,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,v6.1 regime proposal: TRENDING_BEAR + structure_score >= 10 + SHORT.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],"{'regime_label_in': ['TRENDING_BEAR'], 'structure_score_min': 10, 'side_in': ['SHORT']}"
VOLUME_SCORE_GE_10,primary_backtest_candidate,1,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Backtest candidate قوی: volume_score >= 10.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],{'volume_score_min': 10}
SCORE_GE_80,small_sample_positive,5,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,مثبت کم‌نمونه: score >= 80؛ فقط watchlist تحقیقاتی.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],{'score_min': 80}
DOGE_SHORT_WATCH,symbol_side_watch,6,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,مثبت کم‌نمونه: DOGE/USDT SHORT.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],"{'symbol_in': ['DOGE/USDT'], 'side_in': ['SHORT']}"
BNB_LONG_SCORE_GE_60,symbol_side_watch,7,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,مثبت کم‌نمونه: BNB/USDT LONG + score>=60.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],"{'symbol_in': ['BNB/USDT'], 'side_in': ['LONG'], 'score_min': 60}"
