node_id,label,node_type,samples,weighted_samples,success_count_24h,failure_count_24h,avg_signed_return_24h_pct,notes
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,MACRO_POLICY_PRESSURE_BEARISH,ROOT_CAUSE,27,27.7373,20,7,0.2531,
OUTCOME:ROOT_CAUSE_HIT_24H,ROOT_CAUSE_HIT_24H,OUTCOME,20,20.3626,20,0,1.1149,
NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME,NO_NARRATIVE_NEUTRAL_NO_THEME,NARRATIVE,17,18.1511,11,6,0.0473,
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,FEDERAL_RESERVE_SPEECHES,EVIDENCE_SOURCE,15,16.1994,10,5,-0.0634,
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,FEDERAL_RESERVE_PRESS,EVIDENCE_SOURCE,15,14.4006,13,2,0.7647,
NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,NARRATIVE,10,9.5862,9,1,0.6028,
EVIDENCE_SOURCE:AUTO_EVENTS,AUTO_EVENTS,EVIDENCE_SOURCE,10,9.5862,9,1,0.6028,
OUTCOME:ROOT_CAUSE_MISS_24H,ROOT_CAUSE_MISS_24H,OUTCOME,7,7.3747,0,7,-2.2092,
DECISION_CONTEXT:NEUTRAL_0_SCORE_30_39,NEUTRAL_0_SCORE_30_39,DECISION_CONTEXT,7,7.3653,4,3,0.6414,
EVIDENCE_SOURCE:MANUAL_EVENTS,MANUAL_EVENTS,EVIDENCE_SOURCE,7,6.7235,6,1,0.3345,
DECISION_CONTEXT:NEUTRAL_0_SCORE_20_29,NEUTRAL_0_SCORE_20_29,DECISION_CONTEXT,4,4.5264,3,1,-0.2702,
DECISION_CONTEXT:NEUTRAL_0_SCORE_40_49,NEUTRAL_0_SCORE_40_49,DECISION_CONTEXT,3,3.1707,1,2,-2.1014,
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79,LONG_WATCHLIST_SCORE_70_79,DECISION_CONTEXT,3,2.8952,3,0,0.9651,
DECISION_CONTEXT:LONG_NOT_ACTIONABLE_SCORE_40_49,LONG_NOT_ACTIONABLE_SCORE_40_49,DECISION_CONTEXT,3,2.8668,2,1,-0.0601,
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69,LONG_WATCHLIST_SCORE_60_69,DECISION_CONTEXT,2,1.9117,2,0,0.6676,
DECISION_CONTEXT:LONG_0_SCORE_60_69,LONG_0_SCORE_60_69,DECISION_CONTEXT,1,1.0755,1,0,1.0821,
DECISION_CONTEXT:LONG_0_SCORE_50_59,LONG_0_SCORE_50_59,DECISION_CONTEXT,1,1.0592,1,0,1.9251,
DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39,NEUTRAL_MONITOR_ONLY_SCORE_30_39,DECISION_CONTEXT,1,0.9607,1,0,0.5747,
DECISION_CONTEXT:SHORT_0_SCORE_50_59,SHORT_0_SCORE_50_59,DECISION_CONTEXT,1,0.954,1,0,0.6924,
DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_10_19,NEUTRAL_MONITOR_ONLY_SCORE_10_19,DECISION_CONTEXT,1,0.9518,1,0,1.403,
