node_id,label,node_type,samples,weighted_samples,success_count_24h,failure_count_24h,avg_signed_return_24h_pct,notes
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,MACRO_POLICY_PRESSURE_BEARISH,ROOT_CAUSE,44,47.3811,24,20,-0.1974,
NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME,NO_NARRATIVE_NEUTRAL_NO_THEME,NARRATIVE,34,37.7949,15,19,-0.4328,
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,FEDERAL_RESERVE_SPEECHES,EVIDENCE_SOURCE,32,35.8426,14,18,-0.5147,
OUTCOME:ROOT_CAUSE_HIT_24H,ROOT_CAUSE_HIT_24H,OUTCOME,24,24.8874,24,0,0.9923,
OUTCOME:ROOT_CAUSE_MISS_24H,ROOT_CAUSE_MISS_24H,OUTCOME,20,22.4937,0,20,-1.6251,
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,FEDERAL_RESERVE_PRESS,EVIDENCE_SOURCE,15,14.4012,13,2,0.7647,
DECISION_CONTEXT:NEUTRAL_0_SCORE_30_39,NEUTRAL_0_SCORE_30_39,DECISION_CONTEXT,11,12.1631,4,7,-0.2554,
NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,NARRATIVE,10,9.5862,9,1,0.6028,
EVIDENCE_SOURCE:AUTO_EVENTS,AUTO_EVENTS,EVIDENCE_SOURCE,10,9.5862,9,1,0.6028,
DECISION_CONTEXT:NEUTRAL_0_SCORE_40_49,NEUTRAL_0_SCORE_40_49,DECISION_CONTEXT,8,9.1061,3,5,-1.1937,
EVIDENCE_SOURCE:MANUAL_EVENTS,MANUAL_EVENTS,EVIDENCE_SOURCE,7,6.7235,6,1,0.3345,
DECISION_CONTEXT:NEUTRAL_0_SCORE_20_29,NEUTRAL_0_SCORE_20_29,DECISION_CONTEXT,6,6.9053,3,3,-0.4881,
DECISION_CONTEXT:LONG_0_SCORE_50_59,LONG_0_SCORE_50_59,DECISION_CONTEXT,4,4.2731,1,3,-0.3264,
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79,LONG_WATCHLIST_SCORE_70_79,DECISION_CONTEXT,3,2.8952,3,0,0.9651,
DECISION_CONTEXT:LONG_NOT_ACTIONABLE_SCORE_40_49,LONG_NOT_ACTIONABLE_SCORE_40_49,DECISION_CONTEXT,3,2.8668,2,1,-0.0601,
DECISION_CONTEXT:LONG_0_SCORE_60_69,LONG_0_SCORE_60_69,DECISION_CONTEXT,2,2.1151,2,0,0.8069,
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69,LONG_WATCHLIST_SCORE_60_69,DECISION_CONTEXT,2,1.9117,2,0,0.6676,
DECISION_CONTEXT:NEUTRAL_0_SCORE_10_19,NEUTRAL_0_SCORE_10_19,DECISION_CONTEXT,1,1.1919,0,1,-1.0938,
DECISION_CONTEXT:LONG_0_SCORE_70_79,LONG_0_SCORE_70_79,DECISION_CONTEXT,1,1.0863,1,0,0.6667,
DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39,NEUTRAL_MONITOR_ONLY_SCORE_30_39,DECISION_CONTEXT,1,0.9607,1,0,0.5747,
