source,target,edge_type,samples,weighted_samples,success_count_24h,failure_count_24h,hit_rate_24h,avg_signed_return_24h_pct,reliability_score,verdict
DECISION_CONTEXT:NEUTRAL_0_SCORE_30_39,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,3,2.8508,3,0,100.0,2.5841,7.6841,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,OUTCOME:ROOT_CAUSE_HIT_24H,ROOT_CAUSE_TESTED_BY_OUTCOME,33,31.8816,33,0,100.0,0.8832,6.8832,RESEARCH_POSITIVE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_10_19,ROOT_CAUSE_CONTEXTUALIZES_DECISION,3,2.8554,3,0,100.0,1.403,6.503,LOW_SAMPLE_EDGE
DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_10_19,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,3,2.8554,3,0,100.0,1.403,6.503,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,SOURCE_SUPPORTS_NARRATIVE,3,2.8627,3,0,100.0,1.2289,6.3289,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79,ROOT_CAUSE_CONTEXTUALIZES_DECISION,9,8.6856,9,0,100.0,0.9651,6.2651,LOW_SAMPLE_EDGE
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,9,8.6856,9,0,100.0,0.9651,6.2651,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69,ROOT_CAUSE_CONTEXTUALIZES_DECISION,6,5.7351,6,0,100.0,0.6676,5.8676,LOW_SAMPLE_EDGE
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,6,5.7351,6,0,100.0,0.6676,5.8676,LOW_SAMPLE_EDGE
DECISION_CONTEXT:NEUTRAL_0_SCORE_40_49,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,1,1.1023,1,0,100.0,0.7402,5.7735,LOW_SAMPLE_EDGE
