source,target,edge_type,samples,weighted_samples,success_count_24h,failure_count_24h,hit_rate_24h,avg_signed_return_24h_pct,reliability_score,verdict
DECISION_CONTEXT:NEUTRAL_0_SCORE_30_39,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,4,4.0304,4,0,100.0,2.343,7.4763,LOW_SAMPLE_EDGE
DECISION_CONTEXT:LONG_0_SCORE_50_59,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,1,1.0592,1,0,100.0,1.9251,6.9584,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,OUTCOME:ROOT_CAUSE_HIT_24H,ROOT_CAUSE_TESTED_BY_OUTCOME,38,37.6114,38,0,100.0,0.9322,6.9322,RESEARCH_POSITIVE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_10_19,ROOT_CAUSE_CONTEXTUALIZES_DECISION,3,2.8554,3,0,100.0,1.403,6.503,LOW_SAMPLE_EDGE
DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_10_19,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,3,2.8554,3,0,100.0,1.403,6.503,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,SOURCE_SUPPORTS_NARRATIVE,3,2.8627,3,0,100.0,1.2289,6.3289,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79,ROOT_CAUSE_CONTEXTUALIZES_DECISION,9,8.6856,9,0,100.0,0.9651,6.2651,LOW_SAMPLE_EDGE
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,9,8.6856,9,0,100.0,0.9651,6.2651,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_0_SCORE_60_69,ROOT_CAUSE_CONTEXTUALIZES_DECISION,1,1.0755,1,0,100.0,1.0821,6.1154,LOW_SAMPLE_EDGE
DECISION_CONTEXT:LONG_0_SCORE_60_69,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,1,1.0755,1,0,100.0,1.0821,6.1154,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69,ROOT_CAUSE_CONTEXTUALIZES_DECISION,6,5.7351,6,0,100.0,0.6676,5.8676,LOW_SAMPLE_EDGE
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,6,5.7351,6,0,100.0,0.6676,5.8676,LOW_SAMPLE_EDGE
DECISION_CONTEXT:NEUTRAL_0_SCORE_40_49,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,1,1.1023,1,0,100.0,0.7402,5.7735,LOW_SAMPLE_EDGE
DECISION_CONTEXT:NEUTRAL_0_SCORE_20_29,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,3,3.5168,3,0,100.0,0.6404,5.7404,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:SHORT_0_SCORE_50_59,ROOT_CAUSE_CONTEXTUALIZES_DECISION,1,0.954,1,0,100.0,0.6924,5.7257,LOW_SAMPLE_EDGE
DECISION_CONTEXT:SHORT_0_SCORE_50_59,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,1,0.954,1,0,100.0,0.6924,5.7257,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39,ROOT_CAUSE_CONTEXTUALIZES_DECISION,3,2.8821,3,0,100.0,0.5747,5.6747,LOW_SAMPLE_EDGE
DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,3,2.8821,3,0,100.0,0.5747,5.6747,LOW_SAMPLE_EDGE
NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,NARRATIVE_SUPPORTS_ROOT_CAUSE,30,28.7586,27,3,90.0,0.6028,5.6028,RESEARCH_POSITIVE_EDGE
DECISION_CONTEXT:LONG_NOT_ACTIONABLE_SCORE_40_49,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,6,5.715,6,0,100.0,0.1779,5.3779,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,SOURCE_SUPPORTS_NARRATIVE,10,9.5862,9,1,90.0,0.6028,4.9361,MIN_SAMPLE_PROMISING_EDGE
EVIDENCE_SOURCE:AUTO_EVENTS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,SOURCE_SUPPORTS_NARRATIVE,10,9.5862,9,1,90.0,0.6028,4.9361,MIN_SAMPLE_PROMISING_EDGE
EVIDENCE_SOURCE:AUTO_EVENTS,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,SOURCE_SUPPORTS_ROOT_CAUSE,10,9.5862,9,1,90.0,0.6028,4.9361,MIN_SAMPLE_PROMISING_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,SOURCE_SUPPORTS_ROOT_CAUSE,15,14.4006,13,2,86.67,0.7647,4.9317,MIN_SAMPLE_PROMISING_EDGE
