source,target,edge_type,samples,weighted_samples,success_count_24h,failure_count_24h,hit_rate_24h,avg_signed_return_24h_pct,reliability_score,verdict
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,OUTCOME:ROOT_CAUSE_HIT_24H,ROOT_CAUSE_TESTED_BY_OUTCOME,12,11.5317,12,0,100.0,0.4215,5.8215,MIN_SAMPLE_PROMISING_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39,ROOT_CAUSE_CONTEXTUALIZES_DECISION,3,2.8821,3,0,100.0,0.5747,5.6747,LOW_SAMPLE_EDGE
DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,3,2.8821,3,0,100.0,0.5747,5.6747,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69,ROOT_CAUSE_CONTEXTUALIZES_DECISION,3,2.8677,3,0,100.0,0.5226,5.6226,LOW_SAMPLE_EDGE
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,3,2.8677,3,0,100.0,0.5226,5.6226,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79,ROOT_CAUSE_CONTEXTUALIZES_DECISION,3,2.9322,3,0,100.0,0.3281,5.4281,LOW_SAMPLE_EDGE
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,3,2.9322,3,0,100.0,0.3281,5.4281,LOW_SAMPLE_EDGE
DECISION_CONTEXT:LONG_NOT_ACTIONABLE_SCORE_40_49,OUTCOME:ROOT_CAUSE_HIT_24H,DECISION_OBSERVED_OUTCOME,3,2.8497,3,0,100.0,0.2608,5.3608,LOW_SAMPLE_EDGE
NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,NARRATIVE_SUPPORTS_ROOT_CAUSE,15,14.4171,12,3,80.0,0.23,3.73,MIN_SAMPLE_PROMISING_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,SOURCE_SUPPORTS_NARRATIVE,5,4.8057,4,1,80.0,0.23,3.3967,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,SOURCE_SUPPORTS_ROOT_CAUSE,5,4.8057,4,1,80.0,0.23,3.3967,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:MANUAL_EVENTS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,SOURCE_SUPPORTS_NARRATIVE,5,4.8057,4,1,80.0,0.23,3.3967,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:MANUAL_EVENTS,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,SOURCE_SUPPORTS_ROOT_CAUSE,5,4.8057,4,1,80.0,0.23,3.3967,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:AUTO_EVENTS,NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,SOURCE_SUPPORTS_NARRATIVE,5,4.8057,4,1,80.0,0.23,3.3967,LOW_SAMPLE_EDGE
EVIDENCE_SOURCE:AUTO_EVENTS,ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,SOURCE_SUPPORTS_ROOT_CAUSE,5,4.8057,4,1,80.0,0.23,3.3967,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,DECISION_CONTEXT:LONG_NOT_ACTIONABLE_SCORE_40_49,ROOT_CAUSE_CONTEXTUALIZES_DECISION,6,5.7351,3,3,50.0,-0.1377,0.0623,LOW_SAMPLE_EDGE
DECISION_CONTEXT:LONG_NOT_ACTIONABLE_SCORE_40_49,OUTCOME:ROOT_CAUSE_MISS_24H,DECISION_OBSERVED_OUTCOME,3,2.8854,0,3,0.0,-0.5361,-5.4361,LOW_SAMPLE_EDGE
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,OUTCOME:ROOT_CAUSE_MISS_24H,ROOT_CAUSE_TESTED_BY_OUTCOME,3,2.8854,0,3,0.0,-0.5361,-5.4361,LOW_SAMPLE_EDGE
