node_id,label,node_type,samples,weighted_samples,success_count_24h,failure_count_24h,avg_signed_return_24h_pct,notes
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,MACRO_POLICY_PRESSURE_BEARISH,ROOT_CAUSE,30,31.1189,20,10,0.1464,
NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME,NO_NARRATIVE_NEUTRAL_NO_THEME,NARRATIVE,20,21.5327,11,9,-0.0819,
OUTCOME:ROOT_CAUSE_HIT_24H,ROOT_CAUSE_HIT_24H,OUTCOME,20,20.3626,20,0,1.1149,
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,FEDERAL_RESERVE_SPEECHES,EVIDENCE_SOURCE,18,19.581,10,8,-0.1885,
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,FEDERAL_RESERVE_PRESS,EVIDENCE_SOURCE,15,14.4006,13,2,0.7647,
OUTCOME:ROOT_CAUSE_MISS_24H,ROOT_CAUSE_MISS_24H,OUTCOME,10,10.7563,0,10,-1.7907,
NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,NARRATIVE,10,9.5862,9,1,0.6028,
EVIDENCE_SOURCE:AUTO_EVENTS,AUTO_EVENTS,EVIDENCE_SOURCE,10,9.5862,9,1,0.6028,
DECISION_CONTEXT:NEUTRAL_0_SCORE_30_39,NEUTRAL_0_SCORE_30_39,DECISION_CONTEXT,7,7.3653,4,3,0.6414,
EVIDENCE_SOURCE:MANUAL_EVENTS,MANUAL_EVENTS,EVIDENCE_SOURCE,7,6.7235,6,1,0.3345,
DECISION_CONTEXT:NEUTRAL_0_SCORE_20_29,NEUTRAL_0_SCORE_20_29,DECISION_CONTEXT,5,5.711,3,2,-0.4584,
DECISION_CONTEXT:LONG_0_SCORE_50_59,LONG_0_SCORE_50_59,DECISION_CONTEXT,3,3.2562,1,2,0.2313,
DECISION_CONTEXT:NEUTRAL_0_SCORE_40_49,NEUTRAL_0_SCORE_40_49,DECISION_CONTEXT,3,3.1707,1,2,-2.1014,
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79,LONG_WATCHLIST_SCORE_70_79,DECISION_CONTEXT,3,2.8952,3,0,0.9651,
DECISION_CONTEXT:LONG_NOT_ACTIONABLE_SCORE_40_49,LONG_NOT_ACTIONABLE_SCORE_40_49,DECISION_CONTEXT,3,2.8668,2,1,-0.0601,
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69,LONG_WATCHLIST_SCORE_60_69,DECISION_CONTEXT,2,1.9117,2,0,0.6676,
DECISION_CONTEXT:LONG_0_SCORE_60_69,LONG_0_SCORE_60_69,DECISION_CONTEXT,1,1.0755,1,0,1.0821,
DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39,NEUTRAL_MONITOR_ONLY_SCORE_30_39,DECISION_CONTEXT,1,0.9607,1,0,0.5747,
DECISION_CONTEXT:SHORT_0_SCORE_50_59,SHORT_0_SCORE_50_59,DECISION_CONTEXT,1,0.954,1,0,0.6924,
DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_10_19,NEUTRAL_MONITOR_ONLY_SCORE_10_19,DECISION_CONTEXT,1,0.9518,1,0,1.403,
