node_id,label,node_type,samples,weighted_samples,success_count_24h,failure_count_24h,avg_signed_return_24h_pct,notes
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,MACRO_POLICY_PRESSURE_BEARISH,ROOT_CAUSE,13,12.4376,12,1,1.06,
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,FEDERAL_RESERVE_PRESS,EVIDENCE_SOURCE,13,12.4376,12,1,1.06,
OUTCOME:ROOT_CAUSE_HIT_24H,ROOT_CAUSE_HIT_24H,OUTCOME,12,11.4758,12,0,1.193,
NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,NARRATIVE,10,9.5862,9,1,0.6028,
EVIDENCE_SOURCE:AUTO_EVENTS,AUTO_EVENTS,EVIDENCE_SOURCE,10,9.5862,9,1,0.6028,
EVIDENCE_SOURCE:MANUAL_EVENTS,MANUAL_EVENTS,EVIDENCE_SOURCE,7,6.7235,6,1,0.3345,
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79,LONG_WATCHLIST_SCORE_70_79,DECISION_CONTEXT,3,2.8952,3,0,0.9651,
DECISION_CONTEXT:LONG_NOT_ACTIONABLE_SCORE_40_49,LONG_NOT_ACTIONABLE_SCORE_40_49,DECISION_CONTEXT,3,2.8668,2,1,-0.0601,
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,FEDERAL_RESERVE_SPEECHES,EVIDENCE_SOURCE,3,2.8627,3,0,1.2289,
NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME,NO_NARRATIVE_NEUTRAL_NO_THEME,NARRATIVE,3,2.8514,3,0,2.5841,
DECISION_CONTEXT:NEUTRAL_0_SCORE_30_39,NEUTRAL_0_SCORE_30_39,DECISION_CONTEXT,3,2.8514,3,0,2.5841,
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69,LONG_WATCHLIST_SCORE_60_69,DECISION_CONTEXT,2,1.9117,2,0,0.6676,
OUTCOME:ROOT_CAUSE_MISS_24H,ROOT_CAUSE_MISS_24H,OUTCOME,1,0.9618,0,1,-0.5361,
DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39,NEUTRAL_MONITOR_ONLY_SCORE_30_39,DECISION_CONTEXT,1,0.9607,1,0,0.5747,
DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_10_19,NEUTRAL_MONITOR_ONLY_SCORE_10_19,DECISION_CONTEXT,1,0.9518,1,0,1.403,
