node_id,label,node_type,samples,weighted_samples,success_count_24h,failure_count_24h,avg_signed_return_24h_pct,notes
NARRATIVE:NO_NARRATIVE_NEUTRAL_NO_THEME,NO_NARRATIVE_NEUTRAL_NO_THEME,NARRATIVE,58,58.5944,22,26,-0.2192,
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,MACRO_POLICY_PRESSURE_BEARISH,ROOT_CAUSE,51,53.9302,30,21,-0.0354,
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,FEDERAL_RESERVE_SPEECHES,EVIDENCE_SOURCE,36,39.595,18,18,-0.3555,
OUTCOME:ROOT_CAUSE_HIT_24H,ROOT_CAUSE_HIT_24H,OUTCOME,31,31.2491,31,0,1.0245,
OUTCOME:ROOT_CAUSE_MISS_24H,ROOT_CAUSE_MISS_24H,OUTCOME,27,28.8108,0,27,-1.3427,
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,FEDERAL_RESERVE_PRESS,EVIDENCE_SOURCE,18,17.1979,15,3,0.8155,
DECISION_CONTEXT:NEUTRAL_0_SCORE_30_39,NEUTRAL_0_SCORE_30_39,DECISION_CONTEXT,15,15.6205,5,7,-0.1832,
EVIDENCE_SOURCE:UNKNOWN_EVIDENCE_SOURCE,UNKNOWN_EVIDENCE_SOURCE,EVIDENCE_SOURCE,14,11.548,1,3,-0.2237,
DECISION_CONTEXT:NEUTRAL_0_SCORE_20_29,NEUTRAL_0_SCORE_20_29,DECISION_CONTEXT,13,13.0112,4,6,-0.3091,
DECISION_CONTEXT:NEUTRAL_0_SCORE_40_49,NEUTRAL_0_SCORE_40_49,DECISION_CONTEXT,12,12.5933,3,6,-1.0707,
NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,NARRATIVE,10,9.5862,9,1,0.6028,
EVIDENCE_SOURCE:AUTO_EVENTS,AUTO_EVENTS,EVIDENCE_SOURCE,10,9.5862,9,1,0.6028,
ROOT_CAUSE:TECHNICAL_STRUCTURE_MOMENTUM_MIXED_OR_NEUTRAL,TECHNICAL_STRUCTURE_MOMENTUM_MIXED_OR_NEUTRAL,ROOT_CAUSE,10,8.1207,0,0,0.0,
OUTCOME:MARKET_UP_24H_NO_RC_JUDGEMENT,MARKET_UP_24H_NO_RC_JUDGEMENT,OUTCOME,8,6.4888,0,0,0.0,
EVIDENCE_SOURCE:MANUAL_EVENTS,MANUAL_EVENTS,EVIDENCE_SOURCE,7,6.7235,6,1,0.3345,
DECISION_CONTEXT:LONG_0_SCORE_60_69,LONG_0_SCORE_60_69,DECISION_CONTEXT,5,4.8674,5,0,1.0051,
DECISION_CONTEXT:LONG_0_SCORE_50_59,LONG_0_SCORE_50_59,DECISION_CONTEXT,4,4.2623,1,3,-0.3264,
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79,LONG_WATCHLIST_SCORE_70_79,DECISION_CONTEXT,3,2.8952,3,0,0.9651,
DECISION_CONTEXT:LONG_NOT_ACTIONABLE_SCORE_40_49,LONG_NOT_ACTIONABLE_SCORE_40_49,DECISION_CONTEXT,3,2.8668,2,1,-0.0601,
ROOT_CAUSE:REGULATORY_RISK_BEARISH,REGULATORY_RISK_BEARISH,ROOT_CAUSE,3,2.7024,0,3,-0.5968,
