node_id,label,node_type,samples,weighted_samples,success_count_24h,failure_count_24h,avg_signed_return_24h_pct,notes
NARRATIVE:MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,MIXED_NARRATIVE_CONFLICT_BEARISH_MACRO_POLICY,NARRATIVE,7,6.7228,6,1,0.232,
ROOT_CAUSE:MACRO_POLICY_PRESSURE_BEARISH,MACRO_POLICY_PRESSURE_BEARISH,ROOT_CAUSE,7,6.7228,6,1,0.232,
EVIDENCE_SOURCE:FEDERAL_RESERVE_PRESS,FEDERAL_RESERVE_PRESS,EVIDENCE_SOURCE,7,6.7228,6,1,0.232,
EVIDENCE_SOURCE:AUTO_EVENTS,AUTO_EVENTS,EVIDENCE_SOURCE,7,6.7228,6,1,0.232,
EVIDENCE_SOURCE:MANUAL_EVENTS,MANUAL_EVENTS,EVIDENCE_SOURCE,6,5.7677,5,1,0.2548,
OUTCOME:ROOT_CAUSE_HIT_24H,ROOT_CAUSE_HIT_24H,OUTCOME,6,5.761,6,0,0.36,
DECISION_CONTEXT:LONG_NOT_ACTIONABLE_SCORE_40_49,LONG_NOT_ACTIONABLE_SCORE_40_49,DECISION_CONTEXT,3,2.8668,2,1,-0.0601,
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_70_79,LONG_WATCHLIST_SCORE_70_79,DECISION_CONTEXT,2,1.9394,2,0,0.3533,
OUTCOME:ROOT_CAUSE_MISS_24H,ROOT_CAUSE_MISS_24H,OUTCOME,1,0.9618,0,1,-0.5361,
DECISION_CONTEXT:NEUTRAL_MONITOR_ONLY_SCORE_30_39,NEUTRAL_MONITOR_ONLY_SCORE_30_39,DECISION_CONTEXT,1,0.9607,1,0,0.5747,
DECISION_CONTEXT:LONG_WATCHLIST_SCORE_60_69,LONG_WATCHLIST_SCORE_60_69,DECISION_CONTEXT,1,0.9559,1,0,0.5226,
EVIDENCE_SOURCE:FEDERAL_RESERVE_SPEECHES,FEDERAL_RESERVE_SPEECHES,EVIDENCE_SOURCE,1,0.9551,1,0,0.095,
